ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-04-27,5.377827552132459,3.041455104483892,6.613912267467307,5.291797054676315,5.463908335184309,-0.10451744233456776,-0.10451744233456776,-0.10451744233456776,-0.10451744233456776,-0.10451744233456776,-0.10451744233456776,0.0,0.0,0.0,4.815750771067205
2021-04-28,5.3777887999437946,3.4546332017179155,7.17689583050615,5.291346572288128,5.464064580041407,-0.004183907273766552,-0.004183907273766552,-0.004183907273766552,-0.004183907273766552,-0.004183907273766552,-0.004183907273766552,0.0,0.0,0.0,5.355288630266929
2021-04-29,5.37775004775513,3.4574992126195174,7.084671235822504,5.290924932516064,5.464211160090262,-0.01580723820104024,-0.01580723820104024,-0.01580723820104024,-0.01580723820104024,-0.01580723820104024,-0.01580723820104024,0.0,0.0,0.0,5.29274267176461
2021-04-30,5.377711295566465,3.988796646358443,7.489544293380846,5.290681197936498,5.464357740139118,0.07983793177835309,0.07983793177835309,0.07983793177835309,0.07983793177835309,0.07983793177835309,0.07983793177835309,0.0,0.0,0.0,5.80705664310558
2021-05-01,5.3776725433778,3.7950249327603993,7.4232241516318584,5.290437463356932,5.464504320187972,0.04234051277478516,0.04234051277478516,0.04234051277478516,0.04234051277478516,0.04234051277478516,0.04234051277478516,0.0,0.0,0.0,5.605365956399299
2021-05-02,5.377633791189136,3.412676032665874,7.035817768505789,5.290196954602739,5.4646509488919595,-0.03991283020232272,-0.03991283020232272,-0.03991283020232272,-0.03991283020232272,-0.03991283020232272,-0.03991283020232272,0.0,0.0,0.0,5.162997206791131
2021-05-03,5.377595039000472,3.724644937384452,7.497751321069171,5.2899706245832885,5.46479776218742,0.04224297345903581,0.04224297345903581,0.04224297345903581,0.04224297345903581,0.04224297345903581,0.04224297345903581,0.0,0.0,0.0,5.604760643506411
2021-05-04,5.3775562868118065,3.0685297921678867,6.65073431603873,5.2896216750315475,5.464944575482882,-0.10451744233460313,-0.10451744233460313,-0.10451744233460313,-0.10451744233460313,-0.10451744233460313,-0.10451744233460313,0.0,0.0,0.0,4.815507857703871
2021-05-05,5.377517534623141,3.5050668020105586,7.068919685010661,5.289238580274819,5.465091388778343,-0.0041839072741249594,-0.0041839072741249594,-0.0041839072741249594,-0.0041839072741249594,-0.0041839072741249594,-0.0041839072741249594,0.0,0.0,0.0,5.355018499893297
2021-05-06,5.377478782434477,3.540355803340909,7.150159167884177,5.288855485518091,5.465311096313016,-0.01580723820123086,-0.01580723820123086,-0.01580723820123086,-0.01580723820123086,-0.01580723820123086,-0.01580723820123086,0.0,0.0,0.0,5.292475694398471
